Unnamed: 0,Unnamed: 0.1,Age,Athlete,Athlete_URL,Gender,Height,Finish,Score,Region,Weight,Wk1,Wk2,Wk3,Wk4,Wk5,Year,Team,Affiliate,Fran,Helen,Grace,Filthy_50,Fight_Gone_Bad,Sprint_400,Run_5k,Clean_And_Jerk,Snatch,Deadlift,Back_Squat,Max_Pullups,Place,Wk1_Place,Wk1_Score,Wk2_Place,Wk2_Score,Wk3_Place,Wk3_Score,Wk4_Place,Wk4_Score,Wk5_Place,Wk5_Score,User_ID
1784,84,25.0,Gabriel Yanez,http://games.crossfit.com/athlete/145855,1,66.0,1785 (13038),13038,0,180.0,422 (295),3817 (262),1544 (115),6293 (207),962 (09:51),16,CrossFit Garden City,CrossFit Garden City,,,,,,,,,,,,,1785,422,295,3817,262,1544,115,6293,207,962,591,145855
1785,85,22.0,CJ Gerald,http://games.crossfit.com/athlete/219456,1,,1785 (13038),13038,0,,1372 (273),1059 (343),1869 (114),7033 (205),1705 (10:21),16,CrossFit Uncommon,CrossFit Uncommon,,,,,0,,,0.0,0.0,0.0,0.0,0,1785,1372,273,1059,343,1869,114,7033,205,1705,621,219456
1786,86,23.0,Shadi Jammoul,http://games.crossfit.com/athlete/154833,1,72.0,1787 (13045),13045,0,175.0,2869 (260),4115 (262),2144 (114),2519 (229),1398 (10:10),16,CrossFit Lower Town,CrossFit Lower Town,,,,,0,,,0.0,0.0,0.0,0.0,0,1787,2869,260,4115,262,2144,114,2519,229,1398,610,154833
1787,87,37.0,Danny Hale,http://games.crossfit.com/athlete/37567,1,69.0,1788 (13046),13046,0,183.0,4078 (249),3608 (263),2380 (113),1992 (235),988 (09:52),16,CrossFit Adaptation,CrossFit Adaptation,,,,,,,,285.0,240.0,,,,1788,4078,249,3608,263,2380,113,1992,235,988,592,37567
1788,88,25.0,Chris Wells,http://games.crossfit.com/athlete/147424,1,72.0,1789 (13052),13052,0,182.0,755 (286),2407 (339),3799 (107),1800 (237),4291 (11:22),16,Ex Nihilo,CrossFit Ex Nihilo,,,,,,,,,,,,,1789,755,286,2407,339,3799,107,1800,237,4291,682,147424
1789,89,45.0,Jeremy Herider,http://games.crossfit.com/athlete/157278,1,70.0,1790 (13056),13056,0,181.0,3436 (256),1997 (340),3470 (108),2358 (231),1795 (10:24),16,MCF,Monster CrossFit,,,,,,,,285.0,225.0,545.0,435.0,52,1790,3436,256,1997,340,3470,108,2358,231,1795,624,157278
1790,90,35.0,Jake Neubauer,http://games.crossfit.com/athlete/12083,1,69.0,1791 (13069),13069,0,195.0,1617 (272),1966 (340),1404 (115),6237 (207),1845 (10:26),16,CF Anywhere TIEDYE NATION,CrossFit Anywhere,,,,,0,,,315.0,250.0,500.0,435.0,55,1791,1617,272,1966,340,1404,115,6237,207,1845,626,12083
1791,91,22.0,Miroslav Holy,http://games.crossfit.com/athlete/226198,1,,1792 (13070),13070,0,,2532 (263),2475 (339),1966 (114),3925 (216),2172 (10:35),16,,CrossFit New Park,,,,,,,,,,,,,1792,2532,263,2475,339,1966,114,3925,216,2172,635,226198
1792,92,25.0,Dustin Hein,http://games.crossfit.com/athlete/206951,1,69.0,1793 (13071),13071,0,185.0,2760 (261),2688 (339),1015 (117),3458 (219),3150 (10:58),16,CrossFit 719,CrossFit 719,,,,,383,,,255.0,220.0,460.0,,,1793,2760,261,2688,339,1015,117,3458,219,3150,658,206951
1793,93,29.0,Scott Linton,http://games.crossfit.com/athlete/23106,1,67.0,1794 (13073),13073,0,165.0,975 (281),1865 (340),4073 (106),5981 (208),179 (08:51),16,CrossFit Charlottesville,CrossFit Charlottesville,,,,,0,,,290.0,225.0,435.0,415.0,0,1794,975,281,1865,340,4073,106,5981,208,179,531,23106
