,Athlete,Athlete_URL,Division,G_01_Place,G_01_Points,G_01_Score,G_02_Place,G_02_Points,G_02_Score,G_03_Place,G_03_Points,G_03_Score,G_04_Place,G_04_Points,G_04_Score,G_05_Place,G_05_Points,G_05_Score,G_06_Place,G_06_Points,G_06_Score,G_07_Place,G_07_Points,G_07_Score,G_08_Place,G_08_Points,G_08_Score,G_09_Place,G_09_Points,G_09_Score,G_10_Place,G_10_Points,G_10_Score,G_11_Place,G_11_Points,G_11_Score,G_12_Place,G_12_Points,G_12_Score,G_13_Place,G_13_Points,G_13_Score,G_14_Place,G_14_Points,G_14_Score,G_15_Place,G_15_Points,G_15_Score,Games_Place,Year
23,Graham Holmberg,http://games.crossfit.com/athlete/262945,1,24,32.0,57:37.14,5,80.0,11:02.00,27,26.0,49:28.59,23,34.0,23 pt,18,44.0,11:15.75,8,34.0,00:19.47,12,28.0,00:19.69,28,24.0,CAP+2,27,26.0,305 lb,14,52.0,05:56.75,21,38.0,14:13.45,25,30.0,CAP+51,28,24.0,CAP+5,,,,,,,24 (472),2015
24,Chad Melton,http://games.crossfit.com/athlete/529918,1,16,48.0,53:46.75,36,8.0,CAP+3,37,6.0,CAP,5,80.0,5 pt,29,22.0,CAP+11,28,12.0,00:21.37,26,14.0,00:21.25,26,28.0,10:35.10,12,56.0,317 lb,25,30.0,06:28.18,24,32.0,14:22.94,25,30.0,CAP+51,2,94.0,04:32.53,,,,,,,25 (460),2015
25,Steven Fawcett,http://games.crossfit.com/athlete/2559,1,10,60.0,50:12.15,40,0.0,CAP+4,26,28.0,49:20.57,37,6.0,37 pt,23,34.0,CAP+5,7,36.0,00:18.90,30,10.0,00:21.63,15,50.0,08:02.01,12,56.0,317 lb,18,44.0,06:05.75,10,60.0,13:35.26,20,40.0,CAP+50,25,30.0,CAP+3,,,,,,,26 (454),2015
26,Nathan Bramblett,http://games.crossfit.com/athlete/104297,1,34,12.0,CAP+4,22,36.0,13:25.00,19,42.0,47:06.10,32,16.0,32 pt,27,26.0,CAP+8,22,18.0,00:20.23,29,11.0,00:21.59,22,36.0,09:03.55,11,58.0,320 lb,13,54.0,05:55.48,35,10.0,15:14.77,6,76.0,05:53.00,25,30.0,CAP+3,,,,,,,27 (425),2015
27,Nick Urankar,http://games.crossfit.com/athlete/5312,1,35,10.0,CAP+5,32,16.0,14:52.00,30,20.0,50:08.08,6,76.0,6 pt,29,22.0,CAP+11,15,25.0,00:19.80,36,4.0,00:22.57,28,24.0,CAP+2,2,94.0,347 lb,19,42.0,06:09.87,36,8.0,15:35.58,13,54.0,CAP+6,29,22.0,CAP+6,,,,,,,28 (417),2015
28,Phil Hesketh,http://games.crossfit.com/athlete/3381,1,30,20.0,CAP,11,58.0,11:38.00,38,4.0,CAP+1,25,30.0,25 pt,25,30.0,CAP+6,18,22.0,00:19.97,28,12.0,00:21.37,13,54.0,07:42.31,31,18.0,295 lb,23,34.0,06:17.79,26,28.0,14:30.97,14,52.0,CAP+8,21,38.0,CAP+2,,,,,,,29 (400),2015
29,Lukas Högberg,http://games.crossfit.com/athlete/24309,1,22,36.0,57:08.42,1,100.0,10:07.00,11,58.0,43:45.27,30,20.0,30 pt,35,10.0,CAP+30,20,20.0,00:20.10,19,21.0,00:20.43,19,42.0,08:32.42,30,20.0,296 lb,36,8.0,09:16.05,34,12.0,15:09.84,25,30.0,CAP+51,36,8.0,CAP+60,,,,,,,30 (385),2015
30,Daniel Tyminski,http://games.crossfit.com/athlete/5284,1,36,8.0,CAP+6,19,42.0,12:39.00,12,56.0,43:56.88,24,32.0,24 pt,21,38.0,CAP+2,10,30.0,00:19.53,15,25.0,00:20.05,37,6.0,CAP+6,33,14.0,285 lb,27,26.0,06:33.63,27,26.0,14:33.09,25,30.0,CAP+51,16,48.0,06:19.29,,,,,,,31 (381),2015
31,Travis Williams,http://games.crossfit.com/athlete/14960,1,23,34.0,57:21.34,18,44.0,12:26.00,20,40.0,47:23.80,12,56.0,12 pt,9,64.0,10:15.76,38,2.0,00:24.53,38,2.0,00:23.70,35,10.0,CAP+5,36,8.0,0 lb,26,28.0,06:29.53,20,40.0,14:13.40,25,30.0,CAP+51,34,12.0,CAP+52,,,,,,,32 (370),2015
32,Khan Porter,http://games.crossfit.com/athlete/105874,1,2,94.0,44:19.12,23,34.0,13:26.00,28,24.0,49:30.90,20,40.0,20 pt,34,12.0,CAP+29,32,8.0,00:22.27,33,7.0,00:21.81,34,12.0,CAP+4,29,22.0,301 lb,28,24.0,06:40.15,23,34.0,14:18.80,25,30.0,CAP+51,35,10.0,CAP+53,,,,,,,33 (351),2015
33,Austin Malleolo,http://games.crossfit.com/athlete/10169,1,31,18.0,CAP+1,30,20.0,14:43.00,4,84.0,39:47.75,40,0.0,40 pt,37,6.0,CAP+33,36,4.0,00:22.83,27,13.0,00:21.33,32,16.0,CAP+3,35,10.0,275 lb,30,20.0,07:01.43,9,64.0,13:33.47,25,30.0,CAP+51,32,16.0,CAP+8,,,,,,,34 (301),2015
34,Julian Alcaraz,http://games.crossfit.com/athlete/60526,1,37,6.0,CAP+7,21,38.0,12:59.00,21,38.0,47:32.81,39,2.0,39 pt,36,8.0,CAP+31,16,24.0,00:19.86,21,19.0,00:20.58,17,46.0,08:15.60,23,34.0,307 lb,35,10.0,08:03.73,31,18.0,14:49.36,25,30.0,CAP+51,27,26.0,CAP+4,,,,,,,35 (299),2015
35,Jordan Cook,http://games.crossfit.com/athlete/111574,1,18,44.0,55:02.70,36,8.0,CAP+3,40,0.0,CAP+3,31,18.0,31 pt,32,16.0,CAP+21,33,7.0,00:22.53,31,9.0,00:21.64,38,4.0,CAP+7,26,28.0,306 lb,33,14.0,07:27.67,32,16.0,14:49.47,20,40.0,CAP+50,20,40.0,06:52.60,,,,,,,36 (244),2015
36,Kevin Simons,http://games.crossfit.com/athlete/42206,1,38,4.0,CAP+8,36,8.0,CAP+3,31,18.0,50:27.71,35,10.0,35 pt,22,36.0,CAP+3,37,3.0,00:23.27,32,8.0,00:21.67,35,10.0,CAP+5,17,46.0,315 lb,37,6.0,CAP+47,WD,,,WD,,,WD,,,,,,,,,37 (149),2015
37,Joe Scali,http://games.crossfit.com/athlete/42717,1,26,28.0,58:33.39,20,40.0,12:58.00,25,30.0,49:15.35,38,4.0,38 pt,39,2.0,CAP+63,6,38.0,00:18.70,2,47.0,00:18.63,28,24.0,CAP+2,36,8.0,0 lb,WD,,,WD,,,WD,,,WD,,,,,,,,,38 (221),2015
38,Neal Maddox,http://games.crossfit.com/athlete/24156,1,39,2.0,CAP+9,10,60.0,11:31.00,32,16.0,51:17.27,7,72.0,7 pt,17,46.0,11:14.57,39,1.0,01:00.00,39,1.0,CAP+7,WD,,,WD,,,WD,,,WD,,,WD,,,WD,,,,,,,,,39 (198),2015
