,Athlete,Athlete_URL,Division,G_01_Place,G_01_Points,G_01_Score,G_02_Place,G_02_Points,G_02_Score,G_03_Place,G_03_Points,G_03_Score,G_04_Place,G_04_Points,G_04_Score,G_05_Place,G_05_Points,G_05_Score,G_06_Place,G_06_Points,G_06_Score,G_07_Place,G_07_Points,G_07_Score,G_08_Place,G_08_Points,G_08_Score,G_09_Place,G_09_Points,G_09_Score,G_10_Place,G_10_Points,G_10_Score,G_11_Place,G_11_Points,G_11_Score,G_12_Place,G_12_Points,G_12_Score,G_13_Place,G_13_Points,G_13_Score,G_14_Place,G_14_Points,G_14_Score,G_15_Place,G_15_Points,G_15_Score,Games_Place,Year
0,Rich Froning,http://games.crossfit.com/athlete/11435,1,18,51.0,48:59.0,12,63.0,2:06:00.0,3,90.0,36.51,16,31.0,104.00 in,3,46.0,68 pt,4,85.0,08:15.6,4,85.0,06:59.4,18,29.0,00:44.7,5,80.0,09:12.2,5,80.0,345.07 lb,1,100.0,07:06.0,9,69.0,03:07.0,1,100.0,02:33.0,1,100.0,01:20.7,5,80.0,02:58.8,1 (1089),2012
1,Matt Chan,http://games.crossfit.com/athlete/17703,1,3,90.0,43:58.0,17,53.0,2:07:16.0,21,45.0,43.65,10,37.0,106.50 in,2,48.0,69 pt,5,80.0,08:17.0,24,39.0,09:28.6,42,5.0,00:48.4,1,100.0,07:33.6,11,65.0,335.05 lb,3,90.0,07:24.0,8,71.0,03:03.3,2,95.0,02:42.0,3,90.0,01:27.9,10,67.0,03:40.4,2 (975),2012
2,Kyle Kasperbauer,http://games.crossfit.com/athlete/25569,1,5,80.0,47:10.0,3,90.0,2:01:54.0,8,71.0,38.32,14,33.0,105.50 in,16,31.0,63 pt,19,49.0,09:04.5,5,80.0,07:23.0,15,32.0,00:44.5,20,47.0,11:09.5,16,55.0,325.06 lb,23,41.0,09:52.0,1,100.0,02:51.2,9,69.0,03:01.5,15,57.0,02:19.9,2,95.0,02:44.7,3 (930),2012
3,Scott Panchik,http://games.crossfit.com/athlete/34796,1,14,59.0,48:40.0,4,85.0,2:02:32.0,32,25.0,47.47,20,27.0,102.50 in,19,28.0,61 pt,7,73.0,08:32.4,22,43.0,09:18.5,16,31.0,00:44.6,9,69.0,10:09.6,19,49.0,325.04 lb,5,80.0,07:51.2,7,73.0,03:01.0,6,75.0,02:55.7,6,75.0,01:32.0,1,100.0,02:41.2,4 (892),2012
4,Jason Khalipa,http://games.crossfit.com/athlete/12485,1,22,43.0,49:24.0,31,26.0,2:16:16.0,23,41.0,43.77,26,21.0,98.50 in,24,23.0,56 pt,10,67.0,08:49.1,10,67.0,08:00.0,44,3.0,00:49.9,2,95.0,08:27.0,2,95.0,355.10 lb,2,95.0,07:22.1,14,59.0,03:20.0,5,80.0,02:51.2,4,85.0,01:30.9,4,85.0,02:55.0,5 (885),2012
5,Dan Bailey,http://games.crossfit.com/athlete/47661,1,15,57.0,48:56.0,24,39.0,2:10:37.0,16,55.0,44.19,12,35.0,106.00 in,4,44.0,67 pt,31,26.0,09:47.7,2,95.0,06:28.1,5,42.0,00:43.2,32,25.0,12:05.2,6,75.0,345.06 lb,6,75.0,08:19.5,15,57.0,03:28.0,11,65.0,03:18.3,5,80.0,01:31.2,3,90.0,02:54.0,6 (860),2012
6,Marcus Hendren,http://games.crossfit.com/athlete/16421,1,32,25.0,52:50.0,20,47.0,2:09:35.0,17,53.0,40.53,18,29.0,103.00 in,9,38.0,65 pt,21,45.0,09:10.9,23,41.0,09:20.0,9,38.0,00:43.6,6,75.0,09:24.2,3,90.0,355.06 lb,8,71.0,08:46.6,2,95.0,02:55.5,12,63.0,03:36.6,12,63.0,01:59.0,7,73.0,03:11.0,7 (846),2012
7,Austin Malleolo,http://games.crossfit.com/athlete/10169,1,21,45.0,49:07.0,11,65.0,2:05:35.0,31,26.0,46.52,25,22.0,99.50 in,28,19.0,55 pt,6,75.0,08:23.9,3,90.0,06:52.0,27,20.0,00:46.1,3,90.0,08:43.5,33,24.0,295.06 lb,11,65.0,09:18.6,6,75.0,02:58.8,3,90.0,02:43.0,11,65.0,01:54.6,9,69.0,03:29.0,8 (840),2012
8,Chad Mackay,http://games.crossfit.com/athlete/51041,1,2,95.0,43:04.0,1,100.0,1:57:33.0,20,47.0,42.4,24,23.0,100.00 in,1,50.0,72 pt,34,23.0,09:57.0,11,65.0,08:10.7,16,31.0,00:44.6,21,45.0,11:11.9,16,55.0,325.06 lb,28,31.0,10:20.0,4,85.0,02:57.5,16,55.0,04:18.9,13,61.0,01:59.6,12,63.0,04:47.5,9 (829),2012
9,Graham Holmberg,http://games.crossfit.com/athlete/11451,1,34,23.0,53:12.0,21,45.0,2:09:36.0,5,80.0,37.63,9,38.0,108.00 in,17,30.0,62 pt,3,90.0,08:14.9,19,49.0,09:08.9,22,25.0,00:45.4,13,61.0,10:29.6,9,69.0,335.11 lb,21,45.0,09:45.2,24,39.0,04:09.0,8,71.0,03:00.2,7,73.0,01:33.4,6,75.0,03:00.7,10 (813),2012
10,Ben Smith,http://games.crossfit.com/athlete/43761,1,15,57.0,48:56.0,5,80.0,2:02:37.0,18,51.0,41.01,8,39.0,108.50 in,41,6.0,47 pt,28,31.0,09:33.4,33,24.0,10:06.0,20,27.0,00:45.0,4,85.0,09:11.0,11,65.0,335.05 lb,4,85.0,07:37.4,10,67.0,03:09.3,13,61.0,03:42.0,14,59.0,02:17.6,8,71.0,03:24.0,11 (808),2012
11,Nate Schrader,http://games.crossfit.com/athlete/53314,1,35,22.0,53:17.0,41,16.0,2:26:38.0,14,59.0,42.21,1,50.0,117.00 in,19,28.0,61 pt,15,57.0,09:02.0,16,55.0,08:46.8,1,50.0,00:42.0,18,51.0,10:57.0,4,85.0,345.09 lb,26,35.0,10:04.2,3,90.0,02:56.0,10,67.0,03:04.0,8,71.0,01:47.0,11,65.0,04:02.6,12 (801),2012
12,Spencer Hendel,http://games.crossfit.com/athlete/50866,1,26,35.0,50:25.0,29,29.0,2:14:26.0,1,100.0,33.1,2,48.0,115.50 in,7,40.0,66 pt,22,43.0,09:12.0,27,33.0,09:59.0,22,25.0,00:45.4,24,39.0,11:25.5,8,71.0,345.03 lb,7,73.0,08:24.0,17,53.0,03:37.3,18,51.0,04:41.0,2,95.0,01:25.0,CUT,,,13 (735),2012
13,Daniel Tyminski,http://games.crossfit.com/athlete/5284,1,11,65.0,48:25.0,13,61.0,2:06:13.0,38,19.0,50.6,37,10.0,91.00 in,44,3.0,37 pt,1,100.0,08:03.2,26,35.0,09:40.0,19,28.0,00:44.8,15,57.0,10:44.0,15,57.0,325.11 lb,13,61.0,09:21.0,18,51.0,03:40.0,4,85.0,02:49.8,9,69.0,01:54.0,CUT,,,14 (701),2012
14,Lucas Parker,http://games.crossfit.com/athlete/38209,1,42,15.0,56:02.0,38,19.0,2:24:12.0,7,73.0,37.77,4,44.0,112.00 in,4,44.0,67 pt,16,55.0,09:03.2,14,59.0,08:28.5,3,46.0,00:42.8,39,18.0,13:01.0,22,43.0,325.00 lb,12,63.0,09:20.4,5,80.0,02:58.5,14,59.0,03:54.0,10,67.0,01:54.4,CUT,,,15 (685),2012
15,Patrick Burke,http://games.crossfit.com/athlete/15617,1,30,27.0,52:12.0,7,73.0,2:03:06.0,4,85.0,37.02,31,16.0,95.50 in,31,16.0,54 pt,9,69.0,08:40.6,31,26.0,10:04.0,14,33.0,00:44.4,8,71.0,10:02.9,27,33.0,305.05 lb,24,39.0,09:54.0,20,47.0,03:46.0,7,73.0,02:57.9,CUT,,,CUT,,,16 (608),2012
16,Kenneth Leverich,http://games.crossfit.com/athlete/21343,1,15,57.0,48:56.0,16,55.0,2:07:04.0,2,95.0,34.78,5,42.0,110.50 in,32,15.0,53 pt,18,51.0,09:04.4,6,75.0,07:30.0,35,12.0,00:47.3,23,41.0,11:18.8,35,22.0,295.01 lb,22,43.0,09:50.3,22,43.0,03:52.0,17,53.0,04:28.1,CUT,,,CUT,,,17 (604),2012
17,Gabe Subry,http://games.crossfit.com/athlete/8496,1,12,63.0,48:26.0,15,57.0,2:06:46.0,9,69.0,38.4,34,13.0,93.00 in,9,38.0,65 pt,13,61.0,08:52.8,15,57.0,08:31.0,28,19.0,00:46.3,16,55.0,10:47.0,28,31.0,305.04 lb,29,29.0,10:27.0,16,55.0,03:29.5,15,57.0,04:00.7,CUT,,,CUT,,,18 (604),2012
18,Chase Daniels,http://games.crossfit.com/athlete/9241,1,25,37.0,50:23.0,6,75.0,2:02:46.0,27,33.0,44.59,35,12.0,92.50 in,23,24.0,57 pt,12,63.0,08:51.6,7,73.0,07:35.0,9,38.0,00:43.6,11,65.0,10:14.6,36,21.0,285.00 lb,30,27.0,10:34.9,12,63.0,03:12.3,CUT,,,CUT,,,CUT,,,19 (531),2012
19,Neal Maddox,http://games.crossfit.com/athlete/24156,1,28,31.0,51:37.0,33,24.0,2:18:04.0,10,67.0,38.89,6,41.0,110.00 in,9,38.0,65 pt,24,39.0,09:21.7,20,47.0,09:10.1,29,18.0,00:46.4,35,22.0,12:46.7,1,100.0,365.01 lb,18,51.0,09:38.1,19,49.0,03:40.1,CUT,,,CUT,,,CUT,,,20 (527),2012
20,Aja Barto,http://games.crossfit.com/athlete/36154,1,44,13.0,57:07.0,40,17.0,2:25:35.0,6,75.0,37.75,3,46.0,114.00 in,7,40.0,66 pt,32,25.0,09:52.5,25,37.0,09:33.0,4,44.0,00:42.9,30,27.0,11:36.7,7,73.0,345.05 lb,15,57.0,09:28.1,11,65.0,03:09.8,CUT,,,CUT,,,CUT,,,21 (519),2012
21,Chris Spealler,http://games.crossfit.com/athlete/27065,1,9,69.0,48:12.0,44,13.0,2:41:11.0,11,65.0,39.5,18,29.0,103.00 in,34,13.0,52 pt,2,95.0,08:14.8,17,53.0,09:00.6,35,12.0,00:47.3,29,29.0,11:34.7,38,19.0,275.04 lb,25,37.0,09:59.0,13,61.0,03:16.0,CUT,,,CUT,,,CUT,,,22 (495),2012
22,Jon Pera,http://games.crossfit.com/athlete/31660,1,36,21.0,53:39.0,14,59.0,2:06:24.0,28,31.0,44.85,27,20.0,97.50 in,9,38.0,65 pt,41,16.0,10:48.8,9,69.0,07:56.7,26,21.0,00:45.7,7,73.0,09:46.0,16,55.0,325.06 lb,18,51.0,09:38.1,23,41.0,03:57.0,CUT,,,CUT,,,CUT,,,23 (495),2012
23,Númi S. Katrínarson,http://games.crossfit.com/athlete/11391,1,1,100.0,42:13.0,2,95.0,1:59:16.0,33,24.0,48.01,36,11.0,91.50 in,21,26.0,59 pt,23,41.0,09:17.8,35,22.0,10:10.0,38,9.0,00:47.6,12,63.0,10:26.5,44,13.0,255.01 lb,35,22.0,12:09.7,21,45.0,03:47.5,CUT,,,CUT,,,CUT,,,24 (471),2012
24,Albert-Dominic Larouche,http://games.crossfit.com/athlete/49510,1,27,33.0,51:29.0,36,21.0,2:19:26.0,25,37.0,44.08,39,8.0,90.00 in,28,19.0,55 pt,17,53.0,09:04.2,1,100.0,06:15.8,22,25.0,00:45.4,22,43.0,11:14.8,26,35.0,305.08 lb,20,47.0,09:45.0,CUT,,,CUT,,,CUT,,,CUT,,,25 (421),2012
25,Justin Allen,http://games.crossfit.com/athlete/1819,1,31,26.0,52:40.0,37,20.0,2:23:15.0,15,57.0,43.16,7,40.0,109.50 in,43,4.0,39 pt,33,24.0,09:53.2,13,61.0,08:14.3,5,42.0,00:43.2,36,21.0,12:48.6,19,49.0,325.04 lb,17,53.0,09:37.0,CUT,,,CUT,,,CUT,,,CUT,,,26 (397),2012
26,Joey Warren,http://games.crossfit.com/athlete/11644,1,33,24.0,52:51.0,27,33.0,2:13:37.0,35,22.0,49.46,15,32.0,104.50 in,24,23.0,56 pt,8,71.0,08:39.2,18,51.0,09:02.0,5,42.0,00:43.2,33,24.0,12:11.4,38,19.0,275.04 lb,16,55.0,09:36.0,CUT,,,CUT,,,CUT,,,CUT,,,27 (396),2012
27,Phillip Kniep,http://games.crossfit.com/athlete/11826,1,41,16.0,55:07.0,34,23.0,2:18:24.0,13,61.0,42.06,44,3.0,74.00 in,34,13.0,52 pt,42,15.0,11:21.6,21,45.0,09:15.0,32,15.0,00:46.8,10,67.0,10:13.3,10,67.0,335.06 lb,9,69.0,09:08.2,CUT,,,CUT,,,CUT,,,CUT,,,28 (394),2012
28,Guido Trinidad,http://games.crossfit.com/athlete/30180,1,43,14.0,56:10.0,32,25.0,2:16:26.0,12,63.0,40.03,23,24.0,101.50 in,15,32.0,64 pt,27,33.0,09:33.0,12,63.0,08:14.0,40,7.0,00:47.9,25,37.0,11:27.6,31,26.0,305.02 lb,14,59.0,09:25.1,CUT,,,CUT,,,CUT,,,CUT,,,29 (383),2012
29,Frederik Aegidius,http://games.crossfit.com/athlete/18543,1,20,47.0,49:04.0,22,43.0,2:09:46.0,26,35.0,44.08,31,16.0,95.50 in,32,15.0,53 pt,30,27.0,09:47.5,39,18.0,10:21.0,25,22.0,00:45.5,19,49.0,11:06.0,23,41.0,315.06 lb,9,69.0,09:08.2,CUT,,,CUT,,,CUT,,,CUT,,,30 (382),2012
30,Jeremy Kinnick,http://games.crossfit.com/athlete/35012,1,13,61.0,48:33.0,26,35.0,2:13:05.0,19,49.0,41.7,37,10.0,91.00 in,28,19.0,55 pt,11,65.0,08:51.4,35,22.0,10:10.0,21,26.0,00:45.2,17,53.0,10:52.0,41,16.0,275.01 lb,31,26.0,10:45.3,CUT,,,CUT,,,CUT,,,CUT,,,31 (382),2012
31,Mikko Aronpää,http://games.crossfit.com/athlete/10822,1,8,71.0,48:03.0,8,71.0,2:04:36.0,29,29.0,45.15,29,18.0,97.00 in,34,13.0,52 pt,26,35.0,09:25.8,44,13.0,10:25.0,8,39.0,00:43.3,34,23.0,12:20.5,29,29.0,305.03 lb,27,33.0,10:07.2,CUT,,,CUT,,,CUT,,,CUT,,,32 (374),2012
32,Daniel Hershey,http://games.crossfit.com/athlete/2615,1,4,85.0,45:20.0,9,69.0,2:05:15.0,36,21.0,50.12,22,25.0,102.00 in,39,8.0,51 pt,37,20.0,10:10.1,42,15.0,10:22.0,9,38.0,00:43.6,27,33.0,11:30.8,37,20.0,275.05 lb,34,23.0,11:51.4,CUT,,,CUT,,,CUT,,,CUT,,,33 (357),2012
33,Austin Stack,http://games.crossfit.com/athlete/31873,1,10,67.0,48:22.0,25,37.0,2:12:23.0,22,43.0,43.75,42,5.0,83.00 in,9,38.0,65 pt,45,12.0,13:01.0,28,31.0,10:03.0,31,16.0,00:46.6,28,31.0,11:31.7,19,49.0,325.04 lb,33,24.0,11:22.6,CUT,,,CUT,,,CUT,,,CUT,,,34 (353),2012
34,Rob Forte,http://games.crossfit.com/athlete/7285,1,7,73.0,47:58.0,10,67.0,2:05:23.0,30,27.0,45.88,43,4.0,82.50 in,40,7.0,49 pt,39,18.0,10:21.2,28,31.0,10:03.0,30,17.0,00:46.5,14,59.0,10:43.2,40,17.0,275.02 lb,32,25.0,10:58.8,CUT,,,CUT,,,CUT,,,CUT,,,35 (345),2012
35,David Levey,http://games.crossfit.com/athlete/8743,1,6,75.0,47:31.0,23,41.0,2:10:12.0,37,20.0,50.33,30,17.0,96.50 in,9,38.0,65 pt,36,21.0,10:05.6,44,13.0,10:25.0,2,48.0,00:42.2,43,14.0,13:02.0,42,15.0,265.04 lb,36,21.0,13:07.9,CUT,,,CUT,,,CUT,,,CUT,,,36 (323),2012
36,Kevin Simons,http://games.crossfit.com/athlete/42206,1,40,17.0,54:49.0,42,15.0,2:32:50.0,24,39.0,44.01,10,37.0,106.50 in,24,23.0,56 pt,43,14.0,11:32.5,8,71.0,07:40.8,41,6.0,00:48.3,43,14.0,13:02.0,13,61.0,335.04 lb,CUT,,,CUT,,,CUT,,,CUT,,,CUT,,,37 (297),2012
37,Jason Hoggan,http://games.crossfit.com/athlete/5718,1,37,20.0,53:49.0,18,51.0,2:07:56.0,42,15.0,61.63,12,35.0,106.00 in,22,25.0,58 pt,20,47.0,09:05.7,43,14.0,10:24.0,13,34.0,00:43.9,39,18.0,13:01.0,32,25.0,295.07 lb,CUT,,,CUT,,,CUT,,,CUT,,,CUT,,,38 (284),2012
38,Matthew Lefave,http://games.crossfit.com/athlete/18006,1,23,41.0,49:47.0,19,49.0,2:08:06.0,34,23.0,48.63,16,31.0,104.00 in,45,2.0,34 pt,35,22.0,10:02.7,38,19.0,10:15.0,34,13.0,00:46.9,39,18.0,13:01.0,24,39.0,315.00 lb,CUT,,,CUT,,,CUT,,,CUT,,,CUT,,,39 (257),2012
39,Jeremy Meredith,http://games.crossfit.com/athlete/5296,1,38,19.0,53:54.0,39,18.0,2:24:44.0,39,18.0,51.93,20,27.0,102.50 in,24,23.0,56 pt,25,37.0,09:23.0,31,26.0,10:04.0,39,8.0,00:47.7,45,12.0,13:04.0,14,59.0,335.00 lb,CUT,,,CUT,,,CUT,,,CUT,,,CUT,,,40 (247),2012
40,Brandon Swan,http://games.crossfit.com/athlete/7314,1,19,49.0,49:00.0,28,31.0,2:14:10.0,44,13.0,62.22,41,6.0,87.00 in,4,44.0,67 pt,44,13.0,12:22.1,39,18.0,10:21.0,37,10.0,00:47.5,26,35.0,11:30.3,34,23.0,295.04 lb,CUT,,,CUT,,,CUT,,,CUT,,,CUT,,,41 (242),2012
41,Brandon Phillips,http://games.crossfit.com/athlete/8067,1,24,39.0,50:02.0,35,22.0,2:19:19.0,41,16.0,59.47,27,20.0,97.50 in,34,13.0,52 pt,29,29.0,09:41.0,33,24.0,10:06.0,42,5.0,00:48.4,31,26.0,11:56.8,24,39.0,315.00 lb,CUT,,,CUT,,,CUT,,,CUT,,,CUT,,,42 (233),2012
42,Bryan Diaz,http://games.crossfit.com/athlete/20717,1,45,12.0,1:18:24.0,45,12.0,3:00:41.0,43,14.0,61.95,40,7.0,88.00 in,17,30.0,62 pt,38,19.0,10:19.5,35,22.0,10:10.0,12,35.0,00:43.8,38,19.0,12:55.1,29,29.0,305.03 lb,CUT,,,CUT,,,CUT,,,CUT,,,CUT,,,43 (199),2012
43,Yurii Hanson,http://games.crossfit.com/athlete/24538,1,39,18.0,53:59.0,43,14.0,2:39:59.0,40,17.0,52.13,33,14.0,94.00 in,42,5.0,45 pt,14,59.0,08:55.3,28,31.0,10:03.0,45,2.0,00:54.4,39,18.0,13:01.0,43,14.0,265.03 lb,CUT,,,CUT,,,CUT,,,CUT,,,CUT,,,44 (192),2012
44,Brian Quinlan,http://games.crossfit.com/athlete/3008,1,29,29.0,51:44.0,30,27.0,2:15:15.0,45,12.0,62.57,45,2.0,66.50 in,34,13.0,52 pt,40,17.0,10:41.5,39,18.0,10:21.0,32,15.0,00:46.8,37,20.0,12:51.8,44,13.0,255.01 lb,CUT,,,CUT,,,CUT,,,CUT,,,CUT,,,45 (166),2012
45,Orlando Trejo,http://games.crossfit.com/athlete/42803,1,WD,,,WD,,,WD,,,WD,,,WD,,,WD,,,WD,,,WD,,,WD,,,WD,,,WD,,,WD,,,WD,,,WD,,,WD,,,46 (),2012
0,Rich Froning,http://games.crossfit.com/athlete/11435,1,30,27.0,14:02.1,2,95.0,06:34.5,6,75.0,1:20:14.9,7,73.0,30:49.5,18,51.0,18 pt,8,71.0,06:39.8,2,95.0,17:19.3,3,90.0,345.20 lb,4,85.0,09:14.7,1,100.0,02:28.3,1,100.0,04:05.7,1,100.0,04:41.0,,,,,,,,,,1 (962),2013
1,Jason Khalipa,http://games.crossfit.com/athlete/12485,1,13,61.0,12:12.1,1,100.0,06:21.1,1,100.0,1:18:02.3,1,100.0,28:58.2,43,14.0,43 pt,27,33.0,08:28.8,3,90.0,17:28.7,7,73.0,335.10 lb,9,69.0,09:50.0,4,85.0,02:37.4,6,75.0,05:04.2,3,90.0,05:52.6,,,,,,,,,,2 (890),2013
2,Ben Smith,http://games.crossfit.com/athlete/43761,1,2,95.0,10:28.5,32,25.0,06:53.8,23,41.0,1:23:35.0,2,95.0,29:46.2,6,75.0,6 pt,28,31.0,08:28.9,7,73.0,18:13.6,4,85.0,345.10 lb,20,47.0,10:30.8,16,55.0,03:04.0,2,95.0,04:17.3,4,85.0,06:13.8,,,,,,,,,,3 (802),2013
3,Scott Panchik,http://games.crossfit.com/athlete/34796,1,11,65.0,11:48.6,11,65.0,06:41.7,16,55.0,1:22:00.2,30,27.0,34:51.1,4,85.0,4 pt,12,63.0,07:08.2,30,27.0,20:03.0,5,80.0,335.20 lb,8,71.0,09:25.5,9,69.0,02:55.0,3,90.0,04:25.5,7,73.0,07:02.0,,,,,,,,,,4 (770),2013
4,Garret Fisher,http://games.crossfit.com/athlete/21292,1,10,67.0,11:44.7,4,85.0,06:37.6,9,69.0,1:20:22.5,5,80.0,30:48.6,22,43.0,22 pt,18,51.0,07:39.5,6,75.0,18:02.7,7,73.0,335.10 lb,27,33.0,10:48.7,18,51.0,03:11.4,11,65.0,05:40.2,7,73.0,07:02.0,,,,,,,,,,5 (765),2013
5,Marcus Hendren,http://games.crossfit.com/athlete/16421,1,37,20.0,15:27.7,10,67.0,06:41.5,24,39.0,1:23:37.6,9,69.0,31:08.1,1,100.0,1 pt,6,75.0,06:37.4,15,57.0,19:16.4,7,73.0,335.10 lb,13,61.0,10:09.7,26,35.0,03:23.7,7,73.0,05:17.9,7,73.0,07:02.0,,,,,,,,,,6 (742),2013
6,Josh Bridges,http://games.crossfit.com/athlete/124483,1,3,90.0,10:59.9,42,15.0,07:04.5,17,53.0,1:22:18.6,15,57.0,31:50.6,39,18.0,39 pt,1,100.0,06:07.3,1,100.0,16:31.6,36,21.0,305.10 lb,1,100.0,08:33.8,19,49.0,03:11.6,28,31.0,07:14.0,2,95.0,05:40.8,,,,,,,,,,7 (729),2013
7,Dan Bailey,http://games.crossfit.com/athlete/47661,1,18,51.0,12:48.4,23,41.0,06:47.4,43,14.0,1:27:58.4,34,23.0,36:10.3,2,95.0,2 pt,26,35.0,08:20.5,24,39.0,19:51.3,13,61.0,325.20 lb,7,73.0,09:24.4,2,95.0,02:30.0,10,67.0,05:29.2,7,73.0,07:02.0,,,,,,,,,,8 (667),2013
8,Neal Maddox,http://games.crossfit.com/athlete/24156,1,36,21.0,15:21.4,31,26.0,06:51.4,2,95.0,1:19:25.9,17,53.0,32:05.9,25,37.0,25 pt,20,47.0,07:47.1,17,53.0,19:28.4,18,51.0,325.10 lb,10,67.0,09:51.3,10,67.0,02:55.4,8,71.0,05:19.3,6,75.0,07:01.0,,,,,,,,,,9 (663),2013
9,ZA Anderson,http://games.crossfit.com/athlete/156719,1,22,43.0,13:08.2,8,71.0,06:40.4,7,73.0,1:20:16.3,16,55.0,32:03.6,10,67.0,10 pt,29,29.0,08:32.1,40,17.0,20:27.0,13,61.0,325.20 lb,39,18.0,12:02.2,3,90.0,02:33.6,19,49.0,06:38.4,7,73.0,07:02.0,,,,,,,,,,10 (646),2013
10,Chad Mackay,http://games.crossfit.com/athlete/51041,1,7,73.0,11:14.8,5,80.0,06:39.1,11,65.0,1:20:44.4,23,41.0,33:06.9,33,24.0,33 pt,17,53.0,07:31.7,35,22.0,20:11.0,7,73.0,335.10 lb,36,21.0,11:51.4,6,75.0,02:49.4,21,45.0,07:02.0,7,73.0,07:02.0,,,,,,,,,,11 (645),2013
11,Albert-Dominic Larouche,http://games.crossfit.com/athlete/49510,1,28,31.0,13:51.9,7,73.0,06:40.2,19,49.0,1:22:54.7,8,71.0,30:57.8,25,37.0,25 pt,10,67.0,06:57.9,10,67.0,18:47.0,26,35.0,315.10 lb,24,39.0,10:37.9,21,45.0,03:12.8,17,53.0,06:16.8,7,73.0,07:02.0,,,,,,,,,,12 (640),2013
12,Daniel Petro,http://games.crossfit.com/athlete/39754,1,12,63.0,11:55.9,25,37.0,06:49.7,45,12.0,1:33:37.5,3,90.0,29:53.0,21,45.0,21 pt,14,59.0,07:28.5,18,51.0,19:30.3,18,51.0,325.10 lb,4,85.0,09:14.7,41,16.0,03:56.6,20,47.0,06:51.8,7,73.0,07:02.0,,,,,,,,,,13 (629),2013
13,Graham Holmberg,http://games.crossfit.com/athlete/163784,1,25,37.0,13:27.3,24,39.0,06:49.4,22,43.0,1:23:21.0,27,33.0,34:24.4,18,51.0,18 pt,11,65.0,07:04.8,40,17.0,20:27.0,18,51.0,325.10 lb,12,63.0,10:04.5,7,73.0,02:50.1,5,80.0,04:45.9,7,73.0,07:02.0,,,,,,,,,,14 (625),2013
14,Frederik Aegidius,http://games.crossfit.com/athlete/18543,1,34,23.0,14:57.5,9,69.0,06:40.9,15,57.0,1:21:07.1,20,47.0,32:47.8,29,29.0,29 pt,16,55.0,07:30.1,14,59.0,19:15.3,24,39.0,315.20 lb,21,45.0,10:34.6,17,53.0,03:06.8,12,63.0,05:55.4,7,73.0,07:02.0,,,,,,,,,,15 (612),2013
15,Ben Stoneberg,http://games.crossfit.com/athlete/30740,1,15,57.0,12:16.8,38,19.0,06:59.5,14,59.0,1:21:04.1,39,18.0,37:09.9,18,51.0,18 pt,19,49.0,07:45.7,4,85.0,17:43.0,18,51.0,325.10 lb,19,49.0,10:27.6,28,31.0,03:26.8,9,69.0,05:27.1,7,73.0,07:02.0,,,,,,,,,,16 (611),2013
16,Justin Allen,http://games.crossfit.com/athlete/1819,1,26,35.0,13:30.3,6,75.0,06:39.7,3,90.0,1:19:39.7,22,43.0,33:01.9,11,65.0,11 pt,22,43.0,08:00.3,40,17.0,20:27.0,18,51.0,325.10 lb,22,43.0,10:36.5,30,27.0,03:28.9,21,45.0,07:02.0,7,73.0,07:02.0,,,,,,,,,,17 (607),2013
17,Travis Mayer,http://games.crossfit.com/athlete/99039,1,31,26.0,14:07.9,20,47.0,06:45.4,10,67.0,1:20:30.8,21,45.0,32:48.5,15,57.0,15 pt,13,61.0,07:25.6,12,63.0,18:57.8,26,35.0,315.10 lb,33,24.0,11:10.6,22,43.0,03:12.9,13,61.0,05:58.4,7,73.0,07:02.0,,,,,,,,,,18 (602),2013
18,Lucas Parker,http://games.crossfit.com/athlete/38209,1,42,15.0,16:36.7,36,21.0,06:58.8,46,11.0,1:38:48.7,42,15.0,37:35.3,15,57.0,15 pt,4,85.0,06:29.6,23,41.0,19:49.4,1,100.0,355.10 lb,43,14.0,12:39.5,8,71.0,02:52.8,4,85.0,04:29.9,5,80.0,06:42.6,,,,,,,,,,19 (595),2013
19,Kyle Kasperbauer,http://games.crossfit.com/athlete/25569,1,20,47.0,13:02.5,33,24.0,06:55.7,36,21.0,1:25:19.2,11,65.0,31:11.6,13,61.0,13 pt,23,41.0,08:00.4,11,65.0,18:56.0,18,51.0,325.10 lb,18,51.0,10:27.1,25,37.0,03:23.3,16,55.0,06:12.8,7,73.0,07:02.0,,,,,,,,,,20 (591),2013
20,Matt Chan,http://games.crossfit.com/athlete/17703,1,4,85.0,11:01.3,15,57.0,06:42.7,30,27.0,1:24:20.5,26,35.0,33:51.6,43,14.0,43 pt,34,23.0,10:02.0,28,31.0,20:01.0,13,61.0,325.20 lb,11,65.0,10:03.6,14,59.0,03:03.5,14,59.0,06:01.0,7,73.0,07:02.0,,,,,,,,,,21 (589),2013
21,Roy Gamboa,http://games.crossfit.com/athlete/103415,1,32,25.0,14:09.9,28,31.0,06:50.4,5,80.0,1:20:09.9,28,31.0,34:25.9,7,73.0,7 pt,21,45.0,07:58.3,32,25.0,20:06.0,7,73.0,335.10 lb,31,26.0,10:57.5,15,57.0,03:03.6,21,45.0,07:02.0,7,73.0,07:02.0,,,,,,,,,,22 (584),2013
