Unnamed: 0,Age,Athlete,Athlete_URL,Finish,Gender,Height,Region,User_ID,Weight,Wk1,Wk2,Wk3,Wk4,Wk5,Year,Team,Affiliate,Fran,Helen,Grace,Filthy_50,Fight_Gone_Bad,Sprint_400,Run_5k,Clean_And_Jerk,Snatch,Deadlift,Back_Squat,Max_Pullups,Place,Score,Wk1_Place,Wk1_Score,Wk2_Place,Wk2_Score,Wk3_Place,Wk3_Score,Wk4_Place,Wk4_Score,Wk5_Place,Wk5_Score
1966,26,Tara Shoebridge,http://games.crossfit.com/athlete/248933,1867 (12560),0,65.0,0,248933,126.0,4678 (210),1709 (339),2010 (91),2354 (205),1809 (11:10),16,Great White CrossFit,Great White CrossFit,,,,,,,,,,,,,1867,12560,4678,210,1709,339,2010,91,2354,205,1809,670
1967,35,Corynne Cooper,http://games.crossfit.com/athlete/455986,1868 (12562),0,,0,455986,162.0,1706 (239),1196 (341),974 (102),2063 (207),6623 (13:07),16,South Loop Strength and Conditioning,South Loop CrossFit,,,,,,,,,,,,,1868,12562,1706,239,1196,341,974,102,2063,207,6623,787
1968,22,Nikki Williams,http://games.crossfit.com/athlete/246351,1869 (12568),0,67.0,0,246351,138.0,2546 (228),1993 (339),2200 (90),1697 (211),4132 (12:17),16,CFR Titan,CrossFit Regina,,632.0,283.0,,,,,185.0,135.0,315.0,260.0,,1869,12568,2546,228,1993,339,2200,90,1697,211,4132,737
1969,24,Stevie Rei Akroyd,http://games.crossfit.com/athlete/176722,1870 (12570),0,,0,176722,140.0,3157 (221),3877 (258),1049 (101),2335 (205),2152 (11:23),16,,Hillside CrossFit,,,,,,,,,,,,,1870,12570,3157,221,3877,258,1049,101,2335,205,2152,683
1970,27,Amy Holt,http://games.crossfit.com/athlete/97431,1871 (12572),0,64.0,0,97431,170.0,1706 (239),1515 (340),4179 (80),3675 (197),1497 (10:57),16,CrossFit Seven Cities,CrossFit Seven Cities,187.0,,104.0,1200.0,317,66.0,,205.0,155.0,330.0,340.0,30,1871,12572,1706,239,1515,340,4179,80,3675,197,1497,657
1971,27,Jillian Smith,http://games.crossfit.com/athlete/152457,1872 (12579),0,68.0,0,152457,175.0,3157 (221),2028 (339),2367 (90),3482 (198),1545 (10:59),16,Plymouth Crossfit,CrossFit Plymouth MI,,,,,335,90.0,1440.0,185.0,160.0,325.0,235.0,20,1872,12579,3157,221,2028,339,2367,90,3482,198,1545,659
1972,30,Devon Dow,http://games.crossfit.com/athlete/30743,1873 (12585),0,66.0,0,30743,149.0,2429 (230),2770 (261),3487 (86),2063 (207),1836 (11:11),16,CrossFit DC,CrossFit DC,,,,,,,,0.0,0.0,0.0,0.0,0,1873,12585,2429,230,2770,261,3487,86,2063,207,1836,671
1973,28,Line Smith,http://games.crossfit.com/athlete/456314,1874 (12591),0,67.72,0,456314,130.07,958 (254),6174 (254),1379 (99),2185 (206),1895 (11:14),16,Alpha Lions,Crossfit Kvadraturen,,,,,,,,,,,,,1874,12591,958,254,6174,254,1379,99,2185,206,1895,674
1974,28,Flor De Liz Matus,http://games.crossfit.com/athlete/236855,1875 (12604),0,63.0,0,236855,140.0,2676 (226),1571 (339),5187 (76),934 (225),2236 (11:26),16,Gym Two Forty Four,Unaffiliated,,,,,,,,177.0,145.0,320.0,240.0,,1875,12604,2676,226,1571,339,5187,76,934,225,2236,686
1975,38,Marcie Lopeman,http://games.crossfit.com/athlete/42048,1876 (12608),0,67.0,0,42048,142.0,1920 (236),3988 (258),486 (109),1274 (216),4940 (12:35),16,Gila Valley CrossFit,Gila Valley CrossFit,162.0,470.0,131.0,1135.0,,,,190.0,150.0,300.0,250.0,,1876,12608,1920,236,3988,258,486,109,1274,216,4940,755
